NombreChequeador,FechaDespacho,HoraDespacho,Carrier,NumeroGuia,CantidadDespachada,PaisDestino,ClienteID
Juan Gomez H,2012-05-08,12:00:00,FedEx,CRC-N9N4D8LFRLOO0S,3,Costa Rica,352
Javier Viquez T,2012-05-08,13:00:00,UPS,NIC-IFKBBFM4YNEYSM,1,Nicaragua,292
Melissa Hernandez C,2012-05-08,7:00:00,UPS,PAN-NTY2X8QKQAHM8P,1,Panama,379
Melissa Hernandez C,2012-05-08,10:00:00,FedEx,GTM-XMHU1QJ1ZUZD0V,2,Guatemala,67
Juan Gomez H,2012-05-08,10:00:00,UPS,GTM-GHI98SIXOFCA0X,3,Guatemala,26
Javier Viquez T,2012-05-09,11:00:00,Correos de Costa Rica,GTM-GQCK1ZO724MLK4,2,Guatemala,47
Javier Viquez T,2012-05-09,13:00:00,FedEx,GTM-UY324O95DEU8QA,1,Guatemala,230
Victor Arias B,2012-05-09,10:00:00,FedEx,GTM-IY0GOBBAO1E5BB,3,Guatemala,376
Melissa Hernandez C,2012-05-09,12:00:00,GoPato,PAN-UTDKTOLNFCKCFR,3,Panama,89
Pedro Rodriguez O,2012-05-10,12:00:00,FedEx,GTM-H5WZ39O7BDZDOE,2,Guatemala,301
Juan Gomez H,2012-05-10,9:00:00,FedEx,GTM-RDQEGH8JMTGYKM,3,Guatemala,67
Juan Gomez H,2012-05-10,9:00:00,UPS,PAN-CUK90CEI56L0M2,2,Panama,186
Javier Viquez T,2012-05-10,11:00:00,UPS,NIC-AG5NAXZW3BXBUW,3,Nicaragua,237
Juan Gomez H,2012-05-11,12:00:00,DHL,CRC-5PA0XH609ZXSR9,2,Costa Rica,440
Victor Arias B,2012-05-11,7:00:00,GoPato,CRC-EMIYMR1K0077VJ,3,Costa Rica,228
Melissa Hernandez C,2012-05-11,13:00:00,DHL,GTM-BZESED68W9GSPC,1,Guatemala,47
Juan Gomez H,2012-05-11,12:00:00,GoPato,PAN-K5B9R8W9LPYBJ0,3,Panama,211
Javier Viquez T,2012-05-12,13:00:00,FedEx,CRC-KK9K9MSX3Y18S6,2,Costa Rica,198
Juan Gomez H,2012-05-12,11:00:00,Correos de Costa Rica,GTM-9CAGRXBDUCONH1,3,Guatemala,168
Juan Gomez H,2012-05-12,10:00:00,GoPato,NIC-DJUWBZME8UOJ1H,2,Nicaragua,393
Javier Viquez T,2012-05-13,10:00:00,FedEx,NIC-PCUIRR1879QZQ3,2,Nicaragua,11
Juan Gomez H,2012-05-13,10:00:00,DHL,PAN-XKQZMGAGG7RZF3,2,Panama,224
Victor Arias B,2012-05-13,12:00:00,FedEx,NIC-9QKK4FPT5G9S61,2,Nicaragua,287
Javier Viquez T,2012-05-13,7:00:00,Correos de Costa Rica,GTM-WVWLF8L6I4A33P,2,Guatemala,372
Javier Viquez T,2012-05-14,8:00:00,UPS,NIC-3Q0B42RNGAB2RD,1,Nicaragua,74
Melissa Hernandez C,2012-05-14,9:00:00,UPS,GTM-PY5D8C4E9XHOA4,1,Guatemala,238
Melissa Hernandez C,2012-05-14,7:00:00,GoPato,GTM-DXSPQ6KUMN56HB,3,Guatemala,219
Juan Gomez H,2012-05-14,7:00:00,GoPato,GTM-UZOZ617DFHW61V,3,Guatemala,31
Pedro Rodriguez O,2012-05-15,7:00:00,UPS,NIC-P85JBW10917OH5,1,Nicaragua,318
Victor Arias B,2012-05-15,7:00:00,Correos de Costa Rica,CRC-IHRW0G1JMK0LH6,1,Costa Rica,354
Pedro Rodriguez O,2012-05-15,10:00:00,DHL,GTM-1B2KG17RCPHGMF,3,Guatemala,13
Pedro Rodriguez O,2012-05-15,7:00:00,UPS,PAN-7NHLHUUJ48JBRL,3,Panama,391
Victor Arias B,2012-05-15,13:00:00,DHL,GTM-8J4FKXLHWKVESJ,3,Guatemala,118
Melissa Hernandez C,2012-05-16,9:00:00,Correos de Costa Rica,CRC-NA86RZMCV0DQHK,2,Costa Rica,349
Melissa Hernandez C,2012-05-16,13:00:00,UPS,GTM-79ZC64LGO600ZG,2,Guatemala,252
Pedro Rodriguez O,2012-05-16,13:00:00,DHL,NIC-6A7QWFKHYKU8T6,2,Nicaragua,167
Juan Gomez H,2012-05-16,9:00:00,FedEx,PAN-L9ZM0A9Q2HF79G,3,Panama,160
Javier Viquez T,2012-05-17,10:00:00,UPS,GTM-38Q6RRPIEYFXTC,2,Guatemala,50
Victor Arias B,2012-05-17,11:00:00,FedEx,GTM-2FXKFCJJKJ8KVR,3,Guatemala,313
Javier Viquez T,2012-05-17,11:00:00,FedEx,PAN-NANJ8K9DBXVV08,2,Panama,267
Juan Gomez H,2012-05-18,13:00:00,FedEx,GTM-H4OFLU1PWATI4J,2,Guatemala,26
Javier Viquez T,2012-05-18,8:00:00,DHL,PAN-LZIKR1P9O4EFAQ,2,Panama,401
Victor Arias B,2012-05-18,10:00:00,UPS,GTM-8OKXYYNM1L92WM,3,Guatemala,290
Pedro Rodriguez O,2012-05-18,9:00:00,UPS,CRC-JKO5AJXC5QMHHI,3,Costa Rica,9
Victor Arias B,2012-05-19,10:00:00,FedEx,GTM-RYVRDMA1NQ1864,1,Guatemala,442
Pedro Rodriguez O,2012-05-19,8:00:00,DHL,CRC-BUKWKNP7YX8ZUG,3,Costa Rica,426
Victor Arias B,2012-05-19,7:00:00,FedEx,GTM-YKZ509HTB9ZIL4,1,Guatemala,10
Melissa Hernandez C,2012-05-19,10:00:00,FedEx,PAN-MFTN4LHMGHOCJL,3,Panama,85
Juan Gomez H,2012-05-20,12:00:00,DHL,CRC-KD00276QKBJ5GX,2,Costa Rica,276
Pedro Rodriguez O,2012-05-20,13:00:00,FedEx,GTM-P1DJ4C1UWLVV1K,3,Guatemala,273
Juan Gomez H,2012-05-20,9:00:00,GoPato,GTM-4XCGRNOB2UF38G,3,Guatemala,16
Victor Arias B,2012-05-21,11:00:00,FedEx,CRC-JTYEC35NP624GF,3,Costa Rica,191
Melissa Hernandez C,2012-05-21,7:00:00,UPS,CRC-1U8YC9OSKOM9S7,2,Costa Rica,255
Victor Arias B,2012-05-21,12:00:00,DHL,PAN-JROYLPMEQT8M5K,1,Panama,114
Victor Arias B,2012-05-21,10:00:00,FedEx,CRC-KGO4H4E9R9PR6S,2,Costa Rica,173
Javier Viquez T,2012-05-22,11:00:00,FedEx,NIC-ZFGOKYXXCHF7CO,1,Nicaragua,131
Melissa Hernandez C,2012-05-22,11:00:00,Correos de Costa Rica,PAN-W2DEWSHZA0TF3V,1,Panama,413
Pedro Rodriguez O,2012-05-22,11:00:00,Correos de Costa Rica,NIC-6HB2IB5YGGRRIP,3,Nicaragua,183
Juan Gomez H,2012-05-22,12:00:00,Correos de Costa Rica,NIC-52VSTA63ZE1WPQ,1,Nicaragua,55
Victor Arias B,2012-05-22,12:00:00,FedEx,CRC-BJGA4WO1GGRNY2,3,Costa Rica,294
Victor Arias B,2012-05-23,11:00:00,GoPato,GTM-VAX99WX65W8VQP,2,Guatemala,157
Pedro Rodriguez O,2012-05-23,7:00:00,FedEx,PAN-LO1OWY3WS6TVFN,2,Panama,83
Javier Viquez T,2012-05-23,10:00:00,FedEx,CRC-YVKDY3834UOSY7,2,Costa Rica,199
Melissa Hernandez C,2012-05-23,13:00:00,FedEx,GTM-563REPVISHEXMI,2,Guatemala,223
Pedro Rodriguez O,2012-05-23,13:00:00,Correos de Costa Rica,PAN-JRUREYQ4OSRV9M,1,Panama,434
Juan Gomez H,2012-05-23,12:00:00,GoPato,CRC-77NMZ9EG5YE705,2,Costa Rica,264
Victor Arias B,2012-05-24,10:00:00,UPS,GTM-KS94V5Z8ZBQMOE,3,Guatemala,29
Juan Gomez H,2012-05-24,10:00:00,FedEx,NIC-JVRPSGKHEPPQWT,2,Nicaragua,388
Victor Arias B,2012-05-24,7:00:00,GoPato,PAN-2F7LYUEW7W1BEA,3,Panama,224
Melissa Hernandez C,2012-05-25,8:00:00,UPS,CRC-H9HJN49P4A84VB,3,Costa Rica,199
