ClienteID,Nombre,Apellido,Telefono,Email,Pais,Direccion 
1,Cherida,Berthon,502-(353)627-1298,cberthon0@ask.com,Guatemala,3 Sommers Lane
2,Noby,Ableson,507-(406)870-4775,nableson1@goo.ne.jp,Panama,7 Basil Plaza
3,Jolie,Dudson,502-(338)496-4325,jdudson2@paypal.com,Guatemala,21 Sherman Crossing
4,Carin,Loosely,507-(169)932-1323,cloosely3@addthis.com,Panama,74489 Schlimgen Court
5,Mariele,Issac,502-(129)941-5280,missac4@furl.net,Guatemala,230 Forster Avenue
6,Elvis,Tybalt,505-(372)103-9169,etybalt5@admin.ch,Nicaragua,86 Hermina Road
7,Dorothy,Mordey,505-(317)783-3144,dmordey6@eepurl.com,Nicaragua,931 Stephen Crossing
8,Bink,O'Scully,506-(870)510-4093,boscully7@bandcamp.com,Costa Rica,63294 Banding Hill
9,Bevan,Elwood,502-(260)190-7954,belwood8@51.la,Guatemala,7 Randy Lane
10,Leonore,Jagoe,505-(182)292-9944,ljagoe9@cyberchimps.com,Nicaragua,874 Chinook Way
11,Karlik,Reade,507-(487)914-7374,kreadea@independent.co.uk,Panama,1679 Barnett Terrace
12,Abagael,Ewols,502-(150)871-7391,aewolsb@arizona.edu,Guatemala,63833 2nd Hill
13,Shina,Farries,506-(382)649-7699,sfarriesc@51.la,Costa Rica,40354 Bashford Place
14,Rosaline,Sapsford,507-(280)118-7205,rsapsfordd@army.mil,Panama,2757 Little Fleur Crossing
15,Anastassia,Montgomery,502-(543)760-8774,amontgomerye@fda.gov,Guatemala,68 Merry Place
16,Veronica,Helks,502-(228)531-2738,vhelksf@senate.gov,Guatemala,7181 Elgar Court
17,Nellie,Lemoir,505-(526)918-4858,nlemoirg@globo.com,Nicaragua,9 Golden Leaf Terrace
18,Parke,Tripcony,506-(274)832-1270,ptripconyh@msu.edu,Costa Rica,9 Loomis Avenue
19,Ethelin,Monard,502-(547)815-6137,emonardi@1und1.de,Guatemala,80464 Clove Way
20,Lorry,Southway,507-(588)713-5683,lsouthwayj@epa.gov,Panama,50 Petterle Point
21,Michael,Kinder,506-(624)399-2445,mkinderk@virginia.edu,Costa Rica,0173 Macpherson Alley
22,Eduardo,Stonman,502-(433)159-6260,estonmanl@usa.gov,Guatemala,662 Doe Crossing Alley
23,Brinn,McPike,507-(805)769-3796,bmcpikem@tripadvisor.com,Panama,09069 Debs Trail
24,Oralla,Belone,502-(249)307-6869,obelonen@salon.com,Guatemala,59 Westend Point
25,Robinetta,Byram,502-(638)104-5706,rbyramo@phoca.cz,Guatemala,3617 Oakridge Park
26,Neile,Kigelman,505-(217)818-3826,nkigelmanp@360.cn,Nicaragua,243 Fallview Way
27,Ferdinand,Edie,506-(726)655-4342,fedieq@who.int,Costa Rica,8 Golden Leaf Crossing
28,Maurine,Easom,502-(819)152-6810,measomr@microsoft.com,Guatemala,10 Summer Ridge Court
29,Townie,Bosanko,505-(125)124-7572,tbosankos@wikipedia.org,Nicaragua,36891 Pierstorff Street
